,Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
IR-E-U-0456,Indian Institute of Technology Madras,18.5,30,17.29,30,34.95,34.37,14,9.78,29.74,15,19.34,16.98,21.57,14.88,9.4,20,100
IR-E-U-0249,Visvesvaraya Technological University,7.27,20.17,11.25,22.58,24.88,19.73,2.5,0.94,31.45,14.78,9.25,2.71,0.06,25.26,1.29,20,7.1
IR-E-U-0619,National Institute of Technology Meghalaya,6.64,29.59,17.9,17.79,15.88,13.56,0.5,2.45,30.49,12.9,14.13,3.36,11.02,18.73,11.44,20,3.49
IR-E-C-37013,PSG College of Technology,14.62,28.89,14.8,9.88,10.12,11.93,2.25,0.26,30.04,15,11.63,3.31,0.94,23.95,1.88,20,54.15
IR-E-U-0474,Sathyabama Institute of Science and Technology,16.53,26.04,14.41,10.06,16.77,16.85,4,0.56,22.69,13.33,9.45,6.17,22.74,27.08,0.52,20,12.83
IR-E-U-0749,"Manipal University, Jaipur",14.67,29.39,16.48,10.01,14.79,16.28,6,0.4,25.03,15,11.24,1.16,22.52,26.16,0.09,20,4.73
IR-E-U-0878,Indian Institute of Technology Palakkad,7.17,30,16.52,21.19,9.1,8.79,0.5,2.99,30.26,15,16.55,1.1,19.03,20.78,5.63,20,22.36
IR-E-U-0297,Defence Institute of Advanced Technology,4.86,30,18.15,21.08,13.89,13.45,1,7.09,22.86,10.95,20.67,2.42,13.66,22.93,0,20,4.73
IR-E-U-0906,Indian Institute of Technology Jammu,7.98,29.89,17.91,23.66,11.38,12.6,0,3.29,26.2,14.5,17.86,1.43,20.11,9.25,3.51,20,12.16
IR-E-U-0844,Indian Institute of Technology Tirupati,8.32,30,17.4,23.35,8.01,9.6,0.5,2.6,32.7,13.77,17.01,0.6,14.63,10.91,7.56,20,25.2
IR-E-U-0042,University of Hyderabad,4.9,28.81,18.26,13.93,26.04,21.53,0.5,2.66,18.22,8.41,12.18,5.94,7.56,19.32,0,20,6.72
IR-E-U-0530,Motilal Nehru National Institute of Technology,16.01,15.21,10.56,16.74,16.55,17.13,1.5,1.4,34.91,15,17.22,7.94,13.08,11.45,8.41,20,18.17
IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology Jalandhar,14.1,27.63,13.33,12.1,16.39,18.7,2,0.27,26.39,13.52,13.66,6.57,12.47,20.37,7.37,20,16.97
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),15.04,29.13,15.34,12.13,10.92,13.53,1,0.35,33.87,15,18.85,7.22,9.57,19.21,0.98,20,23.16
IR-E-C-7252,Manipal Institute of Technology,15.12,27.16,14.39,10.92,16.35,19.98,1,0.12,24.46,15,13.33,4.79,18.02,21.07,1.14,20,30.56
IR-E-U-0072,National Institute of Technology Patna,12.35,20.29,13.73,14.54,20.08,21.08,1.5,1.21,37.86,15,14.34,6.95,10.1,11.45,8.25,20,10.42
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,11.15,16.88,1.74,18.84,16.03,16.83,0.75,2.27,34.76,15,18.56,6.64,21.86,9.87,6.62,20,33.72
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,13.18,28.45,19.47,9.64,27.22,27.58,5,0.2,10.58,14.42,8.61,2.06,15.86,23.64,4.63,20,0.9
IR-E-U-0555,Graphic Era University,12.7,26.11,14.25,13.33,17.13,17.69,8,0.59,22.76,14.59,11.31,3.09,17.99,27.14,0.44,20,30.99
IR-E-U-0255,Indian Institute of Space Science and Technology,8.95,30,16.44,22.43,11.54,10.06,1,0.92,33.23,14.07,15.87,3.72,18.49,17.97,4.63,20,32.27
IR-E-C-1269,R.V. College of Engineering,14,27.03,15.37,11.44,7.34,6.76,2.25,0.31,28.39,15,14.29,1.3,6.94,22.74,2.46,20,19.9
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,12.96,21.27,13.88,14.91,18.32,18,2.25,1.05,31.87,14.6,13.66,6.88,11.81,18.64,4.43,20,13.5
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",12.26,21.69,13.92,16.14,19.27,18.03,1.25,1.07,34.06,14.31,13.21,10.69,11.42,16.16,7.18,20,31.85
IR-E-U-0092,National Institute of Technology Raipur,13.94,19.01,12.76,12.12,18.69,19.36,2.25,0.5,29.05,15,14.17,7.76,11.92,16.48,8.56,20,3.91
IR-E-U-0946,Indian Institute of Technology Bhilai,6.36,29.97,17.45,22.94,6.65,7.74,0,5.54,32.6,15,17.43,0.67,22.56,9.22,7.42,20,7.48
IR-E-U-0621,National Institute of Technology Puducherry,8.97,22.95,15.39,14.47,8.56,10.83,2,0.59,27.72,15,13.32,2.42,15.19,19.65,11.75,20,9.7
IR-E-C-30045,"C.V. Raman Global University, Odisha",15.38,30,17.16,13.66,0.82,2.66,1,0.36,31.5,15,10.17,0.82,18.11,30,6.11,20,13.17
IR-E-U-0223,"Jain University, Bangalore",13.23,28.02,14.98,8.85,11.06,15.56,5,0.54,16.95,12.41,10.96,4.06,15.89,23.27,2.04,20,5.13
IR-E-U-0217,Christ University,8.26,26.46,15.66,10.61,17.85,16.99,4,0.06,12.57,11.18,9.84,0.82,16.74,21.63,3.16,20,20.18
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,9.04,25.2,15.46,5.01,18.17,21.68,2.5,0.18,19.28,14.74,8.44,3.36,15.53,30,0.35,20,4.73
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",14.65,30,15.6,6.63,8.35,10.87,3,0.35,24.64,15,10.39,4.52,11.07,26.89,6.41,20,12.49
IR-E-C-24004,AU College of Engineering (A),11.49,26.36,13.53,19.43,4.18,5.57,1,1.58,30.79,15,11.39,8.71,10.74,30,7.77,20,6.33
IR-E-U-0017,Jawaharlal Nehru Technological University,14.5,22.45,11.8,18.62,10.03,11.41,0.25,2.3,29.62,14.35,10.55,2.48,4.2,25.79,6.49,20,14.15
IR-E-U-0516,Indian Institute of Information Technology Allahabad,10.54,14.68,10.11,11.64,11.46,11.67,1,0.81,36.51,15,23.63,5.47,18.83,12.18,3.41,20,27.14
IR-E-U-0284,Maulana Azad National Institute of Technology,15.01,17.58,12.32,12.84,14.61,16.54,2.25,0.81,33.93,15,16,5.34,12.28,18.45,9.89,20,11.47
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,15.13,26.99,14.21,5.47,14.7,16.06,6,0.22,21.19,14.41,8.53,1.03,22.26,20.19,6.69,20,7.1
IR-E-C-36995,Sri Krishna College of Engineering and Technology,13.5,26.73,12.49,13.32,9.92,10.38,3,0.2,37.42,15,10.84,0.6,1.43,22.88,3.38,20,21.28
IR-E-U-0493,National Institute of Technology Agartala,12.59,18.79,12.22,19.96,11.34,13.31,0.75,0.21,33.25,14.2,12.71,5.43,12.06,18.54,8.25,20,9.34
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,8,30,17.29,22.26,3.78,8.03,0.5,1.95,37.47,15,13.69,2.93,18.73,18.38,2.67,20,0.9
IR-E-U-0197,National Institute of Technology Srinagar,12.79,19.55,12.92,17.34,13.52,14.35,1.25,1.07,30.93,15,14.02,7.22,12.35,15.62,10.64,20,6.33
IR-E-U-0389,Banasthali Vidyapith,10.68,26.54,16.03,11.54,8.3,11.04,1,0.65,37.91,15,12.93,7.82,17.77,30,4.39,20,1.78
IR-E-C-41593,COEP Technological University,11.5,23.09,11.55,18.82,9.25,7.65,2,2.59,35.21,15,14.6,2.42,2.48,23.84,5.29,20,33.51
IR-E-U-0384,Sant Longowal Institute of Engineering and Technology,10,30,15.75,23,11.01,13.84,0.5,0.1,23.07,14.63,8.57,3.09,23.84,19.16,2.02,20,5.93
IR-E-C-1331,M. S. Ramaiah Institute of Technology,14.4,27.43,14.99,11.44,10.98,10.98,3,0.3,33.63,15,12.06,1.94,9.45,24.86,1.99,20,22.36
IR-E-U-0221,International Institute of Information Technology Bangalore,8.43,19.13,12.08,26.85,8.97,5.67,0.5,7.77,29.44,15,22.68,1.3,23.28,15.65,0,20,22.1
IR-E-U-0739,Madan Mohan Malaviya University of Technology,13.22,30,19.26,10.63,9.44,10.92,0.25,0.8,23.32,15,11.42,3.86,11.43,27.87,10.28,20,3.49
